Seller,Department,Revenue,Revenue Goal,Margin,Margin Goal,Date,Sales Quantity,Customers
Vitória Ribeiro,Brinquedo,9761.69,9159.46,0.25,0.23,2018-06-06,57,134
Ana Sousa,Eletrônicos,15784.4,8832.96,0.09,0.21,2018-08-31,105,352
Enzo Nascimento,Casa,6182.31,3114.63,0.25,0.23,2017-07-25,48,105
Thiago Barbosa,Acessórios,2273.27,1624.03,0.22,0.46,2021-12-04,23,143
Camila Lima,Vestuário,796.49,2383.08,0.091,0.18,2021-03-01,9,50
Julia Araújo,Esportes,564.98,4042.33,0.2319999999999999,0.29,2021-04-04,6,26
Mateus Barbosa,Eletrônicos,2223.83,2726.07,0.22,0.18,2022-05-03,33,151
Diego Cardoso,Vestuário,1821.01,2220.88,0.2,0.19,2022-08-26,24,82
Diego Cardoso,Vestuário,4784.92,5355.61,0.23,0.15,2018-01-05,32,65
Vitória Ribeiro,Brinquedo,477.6,1393.35,0.28,0.29,2022-12-30,6,51
Caroline Reis,Papelaria,2634.66,2203.78,0.63,0.5,2019-11-17,19,76
Diego Cardoso,Vestuário,8392.62,6342.59,0.15,0.21,2019-09-21,68,170
Caroline Reis,Papelaria,1238.62,2073.83,0.52,0.54,2018-07-18,8,14
Letícia Nascimento,Eletrônicos,16780.48,3968.03,0.26,0.22,2018-01-16,146,532
Jorge Santos,Brinquedo,6756.81,6738.86,0.31,0.26,2019-07-25,52,174
Beatriz Santos,Vestuário,13843.69,7527.85,0.24,0.17,2018-03-23,86,240
Camila Carvalho,Casa,9190.96,10500.95,0.29,0.29,2019-04-05,72,150
Diego Cardoso,Vestuário,5968.57,1570.22,0.27,0.16,2017-06-06,44,183
Thiago Barbosa,Acessórios,437.34,788.72,0.38,0.58,2017-02-24,2,4
Raphael Silva,Papelaria,2162.41,3850.26,0.472,0.36,2020-08-27,11,15
Caroline Reis,Papelaria,2396.81,2204.96,0.38,0.41,2019-02-07,19,55
Caroline Reis,Papelaria,597.5,2801.91,0.188,0.45,2020-06-16,2,6
Thiago Barbosa,Acessórios,1290.6,511.01,0.52,0.56,2021-12-14,11,31
Letícia Ribeiro,Acessórios,1836.05,3183.13,0.74,0.44,2019-12-24,13,56
Julia Araújo,Esportes,5536.24,1628.71,0.31,0.3,2021-08-18,59,443
Raphael Silva,Papelaria,1115.5,1103.94,0.22,0.5,2021-07-09,11,52
Vitória Ribeiro,Brinquedo,10532.38,5226.6,0.16,0.28,2019-07-02,71,131
Julia Araújo,Esportes,2743.85,2225.51,0.21,0.27,2022-09-17,39,149
Gustavo Martins,Eletrônicos,3628.21,3030.9,0.17,0.17,2019-06-08,28,142
Ana Sousa,Eletrônicos,9009.26,3307.51,0.26,0.23,2017-02-20,82,193
Ana Sousa,Eletrônicos,2144.81,13677.36,0.25,0.2,2020-03-26,7,17
Thiago Carvalho,Esportes,3227.42,2691.57,0.2,0.35,2022-05-19,45,356
Letícia Nascimento,Eletrônicos,8133.1,7572.58,0.28,0.23,2018-03-02,51,92
Lucas Rodrigues,Esportes,546.81,3046.93,0.33,0.3,2022-08-21,8,63
Camila Lima,Vestuário,2348.05,4768.13,0.17,0.2,2019-10-07,16,34
Camila Carvalho,Casa,1147.82,9531.71,0.12,0.29,2020-08-08,6,13
Letícia Nascimento,Eletrônicos,4891.92,7512.29,0.16,0.21,2019-02-11,34,65
Camila Carvalho,Casa,4183.77,2971.34,0.43,0.26,2022-10-18,75,258
Raphael Silva,Papelaria,1581.23,954.18,0.5,0.43,2021-09-28,17,41
Raphael Silva,Papelaria,663.29,248.19,0.58,0.41,2022-05-11,10,88
Enzo Nascimento,Casa,987.93,5173.58,0.42,0.26,2021-10-13,10,38
Camila Lima,Vestuário,948.41,2890.23,0.21,0.16,2021-07-03,9,69
Julia Araújo,Esportes,6332.72,5727.02,0.17,0.38,2017-07-22,51,231
Letícia Nascimento,Eletrônicos,1567.69,2528.61,0.1119999999999999,0.18,2021-03-14,15,58
Julia Araújo,Esportes,0.0,6497.12,0.31,0.35,2020-05-27,0,0
Letícia Nascimento,Eletrônicos,1932.46,8889.45,0.1,0.23,2019-07-04,15,71
Camila Lima,Vestuário,1757.22,947.13,0.08,0.15,2021-04-13,18,65
Letícia Nascimento,Eletrônicos,14688.2,11684.54,0.14,0.18,2018-11-07,93,144
Mateus Barbosa,Eletrônicos,13296.26,8344.46,0.18,0.2,2018-12-25,84,294
Camila Lima,Vestuário,9595.52,10461.86,0.19,0.18,2020-12-24,51,68
